"id_individu","rep_age","rep_genre","rep_niveau_etudes","rep_langue_domicile","region","departement","milieu","commune","arrondismt","source_eau","assainissement","electricite_acces","electricite_freq","manque_nourriture","manque_eau","manque_soins","manque_combustible","manque_revenus","prive_manque_nourriture","prive_manque_eau","prive_manque_soins","prive_manque_combustible","prive_manque_revenus","indice_privation","groupe_privation","round_afrobarometer","annee_enquete","pays","poids"
168116231,43,"Femme","Primaire complet",660,"Dakar",2,"Urbain",2,11,"Robinet dans la maison",1,"Oui",2,0,1,2,0,2,0,0,1,0,1,2,"Privation modérée (2 types)",9,2022,"SEN",1
168116506,28,"Femme","Secondaire incomplet",660,"Dakar",4,"Urbain",6,21,"Robinet dans la cour/concession",1,"Oui",2,2,3,2,2,3,1,1,1,1,1,5,"Privation sévère (3+ types)",9,2022,"SEN",1
168116507,30,"Homme","Secondaire incomplet",665,"Dakar",4,"Urbain",6,21,"Robinet dans la maison",1,"Oui",2,1,1,1,3,2,0,0,0,1,1,2,"Privation modérée (2 types)",9,2022,"SEN",1
168117317,44,"Homme","Secondaire incomplet",660,"Dakar",3,"Urbain",3,15,"Robinet dans la maison",1,"Oui",4,2,3,3,3,4,1,1,1,1,1,5,"Privation sévère (3+ types)",9,2022,"SEN",1
168117318,54,"Femme","Aucun enseignement formel",660,"Dakar",3,"Urbain",3,15,"Robinet dans la maison",1,"Oui",4,2,3,1,2,2,1,1,0,1,1,4,"Privation sévère (3+ types)",9,2022,"SEN",1
168121294,22,"Homme","Secondaire incomplet",660,"Dakar",4,"Urbain",6,21,"Robinet dans la cour/concession",2,"Oui",5,0,0,0,0,0,0,0,0,0,0,0,"Aucune privation",9,2022,"SEN",1
168126445,57,"Homme","Primaire complet",665,"Dakar",4,"Urbain",6,21,"Robinet dans la maison",1,"Oui",2,0,0,0,0,0,0,0,0,0,0,0,"Aucune privation",9,2022,"SEN",1
168126446,23,"Femme","Secondaire incomplet",663,"Dakar",4,"Urbain",6,21,"Robinet dans la maison",1,"Oui",2,3,1,3,2,2,1,0,1,1,1,4,"Privation sévère (3+ types)",9,2022,"SEN",1
168128486,37,"Femme","Secondaire complet",660,"Dakar",2,"Urbain",2,3,"Robinet dans la maison",1,"Oui",5,0,1,0,1,1,0,0,0,0,0,0,"Aucune privation",9,2022,"SEN",1
168128737,28,"Homme",NA,660,"Dakar",2,"Urbain",2,3,"Robinet dans la maison",1,"Oui",5,0,1,1,1,2,0,0,0,0,1,1,"Privation légère (1 type)",9,2022,"SEN",1
168128754,75,"Femme","Primaire incomplet",660,"Dakar",2,"Urbain",2,NA,"Robinet dans la maison",1,"Oui",4,0,2,2,2,3,0,1,1,1,1,4,"Privation sévère (3+ types)",9,2022,"SEN",1
168129474,30,"Femme","Secondaire complet",661,"Dakar",2,"Urbain",2,3,"Robinet dans la maison",1,"Oui",1,0,0,0,0,4,0,0,0,0,1,1,"Privation légère (1 type)",9,2022,"SEN",1
168129834,74,"Homme","Post-secondaire incomplet",660,"Dakar",2,"Urbain",2,NA,"Robinet dans la maison",2,"Oui",1,0,0,3,2,4,0,0,1,1,1,3,"Privation sévère (3+ types)",9,2022,"SEN",1
168130048,21,"Femme",NA,660,"Dakar",2,"Urbain",2,13,"Robinet dans la maison",1,"Oui",5,0,0,0,0,0,0,0,0,0,0,0,"Aucune privation",9,2022,"SEN",1
168130049,25,"Homme","Enseignement informel/coranique",660,"Dakar",2,"Urbain",2,NA,"Robinet dans la maison",1,"Oui",5,2,0,2,2,2,1,0,1,1,1,4,"Privation sévère (3+ types)",9,2022,"SEN",1
168130950,54,"Homme","Primaire incomplet",660,"Dakar",2,"Urbain",2,NA,"Robinet dans la cour/concession",2,"Oui",4,0,2,2,2,2,0,1,1,1,1,4,"Privation sévère (3+ types)",9,2022,"SEN",1
168132016,19,"Femme",NA,661,"Dakar",2,"Urbain",2,NA,"Robinet dans la maison",1,"Oui",1,0,0,0,0,3,0,0,0,0,1,1,"Privation légère (1 type)",9,2022,"SEN",1
168132253,48,"Femme","Primaire incomplet",660,"Dakar",4,"Urbain",6,21,"Robinet dans la maison",1,"Oui",5,0,2,3,3,3,0,1,1,1,1,4,"Privation sévère (3+ types)",9,2022,"SEN",1
168132254,35,"Homme",NA,665,"Dakar",4,"Urbain",6,21,"Robinet dans la maison",1,"Oui",5,0,2,1,1,4,0,1,0,0,1,2,"Privation modérée (2 types)",9,2022,"SEN",1
168132313,21,"Femme","Secondaire incomplet",661,"Dakar",4,"Urbain",6,21,"Robinet dans la maison",1,"Oui",2,2,4,0,2,2,1,1,0,1,1,4,"Privation sévère (3+ types)",9,2022,"SEN",1
168132314,39,"Homme","Primaire incomplet",660,"Dakar",4,"Urbain",6,21,"Robinet dans la maison",1,"Oui",2,3,0,3,2,3,1,0,1,1,1,4,"Privation sévère (3+ types)",9,2022,"SEN",1
168132629,33,"Femme","Secondaire incomplet",660,"Dakar",2,"Urbain",2,NA,"Robinet dans la maison",1,"Oui",5,0,0,0,0,2,0,0,0,0,1,1,"Privation légère (1 type)",9,2022,"SEN",1
168135928,46,"Femme","Secondaire incomplet",661,"Dakar",4,"Urbain",6,21,"Robinet dans la cour/concession",1,"Oui",3,2,3,2,2,3,1,1,1,1,1,5,"Privation sévère (3+ types)",9,2022,"SEN",1
